year,county,township,admin_key,party_zh,party_code,candidate,vote_rate,votes,total_valid,turnout
2024,基隆市,中山區,基隆市|中山區,國民黨,KMT,侯友宜,0.378600,10474,27665,0.695500
2024,基隆市,中山區,基隆市|中山區,民眾黨,TPP,柯文哲,0.265900,7356,27665,0.695500
2024,基隆市,安樂區,基隆市|安樂區,民進黨,DPP,賴清德,0.347100,17026,49053,0.718600
2024,基隆市,安樂區,基隆市|安樂區,國民黨,KMT,侯友宜,0.390200,19140,49053,0.718600
2024,基隆市,安樂區,基隆市|安樂區,民眾黨,TPP,柯文哲,0.262700,12886,49053,0.718600
2024,基隆市,暖暖區,基隆市|暖暖區,民進黨,DPP,賴清德,0.329500,7674,23289,0.710300
2024,基隆市,暖暖區,基隆市|暖暖區,國民黨,KMT,侯友宜,0.387900,9034,23289,0.710300
2024,基隆市,暖暖區,基隆市|暖暖區,民眾黨,TPP,柯文哲,0.282700,6584,23289,0.710300
2024,基隆市,七堵區,基隆市|七堵區,民進黨,DPP,賴清德,0.363800,11555,31763,0.707300
2024,基隆市,七堵區,基隆市|七堵區,國民黨,KMT,侯友宜,0.364500,11578,31763,0.707300
2024,基隆市,七堵區,基隆市|七堵區,民眾黨,TPP,柯文哲,0.271800,8633,31763,0.707300
2024,宜蘭縣,宜蘭市,宜蘭縣|宜蘭市,民進黨,DPP,賴清德,0.408200,22648,55482,0.720500
2024,宜蘭縣,宜蘭市,宜蘭縣|宜蘭市,國民黨,KMT,侯友宜,0.320800,17799,55482,0.720500
2024,宜蘭縣,宜蘭市,宜蘭縣|宜蘭市,民眾黨,TPP,柯文哲,0.271100,15041,55482,0.720500
2024,宜蘭縣,羅東鎮,宜蘭縣|羅東鎮,民進黨,DPP,賴清德,0.453200,18235,40237,0.728700
2024,宜蘭縣,羅東鎮,宜蘭縣|羅東鎮,國民黨,KMT,侯友宜,0.282100,11351,40237,0.728700
2024,宜蘭縣,羅東鎮,宜蘭縣|羅東鎮,民眾黨,TPP,柯文哲,0.264700,10651,40237,0.728700
2024,宜蘭縣,蘇澳鎮,宜蘭縣|蘇澳鎮,民進黨,DPP,賴清德,0.461000,10224,22177,0.684300
2024,宜蘭縣,蘇澳鎮,宜蘭縣|蘇澳鎮,國民黨,KMT,侯友宜,0.291400,6462,22177,0.684300
2024,宜蘭縣,蘇澳鎮,宜蘭縣|蘇澳鎮,民眾黨,TPP,柯文哲,0.247600,5491,22177,0.684300
2024,宜蘭縣,頭城鎮,宜蘭縣|頭城鎮,民進黨,DPP,賴清德,0.383000,6269,16367,0.675100
2024,宜蘭縣,頭城鎮,宜蘭縣|頭城鎮,國民黨,KMT,侯友宜,0.341900,5596,16367,0.675100
2024,宜蘭縣,頭城鎮,宜蘭縣|頭城鎮,民眾黨,TPP,柯文哲,0.275100,4503,16367,0.675100
2024,宜蘭縣,礁溪鄉,宜蘭縣|礁溪鄉,民進黨,DPP,賴清德,0.463100,9922,21426,0.710700
2024,宜蘭縣,礁溪鄉,宜蘭縣|礁溪鄉,國民黨,KMT,侯友宜,0.281900,6040,21426,0.710700
2024,宜蘭縣,礁溪鄉,宜蘭縣|礁溪鄉,民眾黨,TPP,柯文哲,0.255000,5464,21426,0.710700
2024,宜蘭縣,壯圍鄉,宜蘭縣|壯圍鄉,民進黨,DPP,賴清德,0.478600,7111,14858,0.699600
2024,宜蘭縣,壯圍鄉,宜蘭縣|壯圍鄉,國民黨,KMT,侯友宜,0.262600,3902,14858,0.699600
2024,宜蘭縣,壯圍鄉,宜蘭縣|壯圍鄉,民眾黨,TPP,柯文哲,0.258900,3847,14858,0.699600
2024,宜蘭縣,員山鄉,宜蘭縣|員山鄉,民進黨,DPP,賴清德,0.481000,9521,19795,0.710800
2024,宜蘭縣,員山鄉,宜蘭縣|員山鄉,國民黨,KMT,侯友宜,0.258100,5109,19795,0.710800
2024,宜蘭縣,員山鄉,宜蘭縣|員山鄉,民眾黨,TPP,柯文哲,0.260900,5165,19795,0.710800
2024,宜蘭縣,冬山鄉,宜蘭縣|冬山鄉,民進黨,DPP,賴清德,0.496200,16169,32586,0.727100
2024,宜蘭縣,冬山鄉,宜蘭縣|冬山鄉,國民黨,KMT,侯友宜,0.236000,7690,32586,0.727100
2024,宜蘭縣,冬山鄉,宜蘭縣|冬山鄉,民眾黨,TPP,柯文哲,0.267800,8727,32586,0.727100
2024,宜蘭縣,五結鄉,宜蘭縣|五結鄉,民進黨,DPP,賴清德,0.483800,12157,25129,0.711300
2024,宜蘭縣,五結鄉,宜蘭縣|五結鄉,國民黨,KMT,侯友宜,0.244300,6139,25129,0.711300
2024,宜蘭縣,五結鄉,宜蘭縣|五結鄉,民眾黨,TPP,柯文哲,0.271800,6830,25129,0.711300
2024,宜蘭縣,三星鄉,宜蘭縣|三星鄉,民進黨,DPP,賴清德,0.504100,6500,12895,0.688300
